image,endpoint,beginning
frame_000743.png,621,862
frame_000744.png,619,861
frame_000745.png,618,859
frame_000746.png,617,858
frame_000747.png,615,857
frame_000748.png,614,856
frame_000749.png,613,855
frame_000750.png,611,854
frame_000751.png,610,853
frame_000752.png,608,852
frame_000753.png,607,850
frame_000754.png,606,850
frame_000755.png,604,848
frame_000756.png,603,847
frame_000757.png,601,846
frame_000758.png,600,845
frame_000759.png,599,844
frame_000760.png,597,843
frame_000761.png,596,842
frame_000762.png,595,841
frame_000763.png,593,840
frame_000764.png,592,839
frame_000765.png,590,838
frame_000766.png,589,837
frame_000767.png,588,836
frame_000768.png,587,835
frame_000769.png,585,834
frame_000770.png,584,834
frame_000771.png,583,833
frame_000772.png,582,832
frame_000773.png,580,832
frame_000774.png,579,832
frame_000775.png,577,831
frame_000776.png,576,831
frame_000777.png,574,829
frame_000778.png,573,830
frame_000779.png,572,829
frame_000780.png,570,829
frame_000781.png,569,825
frame_000782.png,568,825
frame_000783.png,566,825
frame_000784.png,565,824
frame_000785.png,564,822
frame_000786.png,562,822
frame_000787.png,561,821
frame_000788.png,560,822
frame_000789.png,559,819
frame_000790.png,557,820
frame_000791.png,556,820
frame_000792.png,555,819
frame_000793.png,553,818
frame_000794.png,552,818
frame_000795.png,550,815
frame_000796.png,549,816
frame_000797.png,547,815
frame_000798.png,546,812
frame_000799.png,545,811
frame_000800.png,543,810
frame_000801.png,542,809
frame_000802.png,541,808
frame_000803.png,539,808
frame_000804.png,538,807
frame_000805.png,537,806
frame_000806.png,536,807
frame_000807.png,534,806
frame_000808.png,533,805
frame_000809.png,532,804
frame_000810.png,530,801
frame_000811.png,529,800
frame_000812.png,528,802
frame_000813.png,527,801
frame_000814.png,525,800
frame_000815.png,524,796
frame_000816.png,522,795
frame_000817.png,521,794
frame_000818.png,519,795
frame_000819.png,518,794
frame_000820.png,517,795
frame_000821.png,515,794
frame_000822.png,514,793
frame_000823.png,513,793
frame_000824.png,511,792
frame_000825.png,510,792
frame_000826.png,509,785
frame_000827.png,507,784
frame_000828.png,506,785
frame_000829.png,505,784
frame_000830.png,504,783
frame_000831.png,502,782
frame_000832.png,501,781
frame_000833.png,500,780
frame_000834.png,499,779
frame_000835.png,497,776
frame_000836.png,496,777
frame_000837.png,494,776
frame_000838.png,493,775
frame_000839.png,491,774
frame_000840.png,490,773
frame_000841.png,489,772
frame_000842.png,487,773
frame_000843.png,486,772
frame_000844.png,485,766
frame_000845.png,483,765
frame_000846.png,482,766
frame_000847.png,481,765
frame_000848.png,479,764
frame_000849.png,478,762
frame_000850.png,477,758
frame_000851.png,476,757
frame_000852.png,474,756
frame_000853.png,473,754
frame_000854.png,472,753
frame_000855.png,471,752
frame_000856.png,469,751
frame_000857.png,468,752
frame_000858.png,466,748
frame_000859.png,465,751
frame_000860.png,464,748
frame_000861.png,462,749
frame_000862.png,461,748
frame_000863.png,460,747
frame_000864.png,458,746
frame_000865.png,457,741
frame_000866.png,456,744
frame_000867.png,454,741
frame_000868.png,453,737
frame_000869.png,452,738
frame_000870.png,450,734
frame_000871.png,449,733
frame_000872.png,448,731
frame_000873.png,447,730
frame_000874.png,445,729
frame_000875.png,444,730
frame_000876.png,443,729
frame_000877.png,441,727
frame_000878.png,440,726
frame_000879.png,438,725
frame_000880.png,436,723
frame_000881.png,435,722
frame_000882.png,434,723
frame_000883.png,432,720
frame_000884.png,431,718
frame_000885.png,429,719
frame_000886.png,428,718
frame_000887.png,427,716
frame_000888.png,425,715
frame_000889.png,424,712
frame_000890.png,423,710
frame_000891.png,421,709
frame_000892.png,420,708
frame_000893.png,419,706
frame_000894.png,417,705
frame_000895.png,416,704
frame_000896.png,415,702
frame_000897.png,413,701
frame_000898.png,411,699
frame_000899.png,410,698
frame_000900.png,409,696
frame_000901.png,407,697
frame_000902.png,406,693
frame_000903.png,404,692
frame_000904.png,403,691
frame_000905.png,402,689
frame_000906.png,400,688
frame_000907.png,399,689
frame_000908.png,398,688
frame_000909.png,397,684
frame_000910.png,395,683
frame_000911.png,394,681
frame_000912.png,393,680
frame_000913.png,391,678
frame_000914.png,390,677
frame_000915.png,389,675
frame_000916.png,387,671
frame_000917.png,386,670
frame_000918.png,385,669
frame_000919.png,383,670
frame_000920.png,382,666
frame_000921.png,380,670
frame_000922.png,379,668
frame_000923.png,377,667
frame_000924.png,376,666
frame_000925.png,375,667
frame_000926.png,374,663
frame_000927.png,372,664
frame_000928.png,371,660
frame_000929.png,370,650
frame_000930.png,369,657
frame_000931.png,367,656
frame_000932.png,366,649
frame_000933.png,365,647
frame_000934.png,364,649
frame_000935.png,362,647
frame_000936.png,361,643
frame_000937.png,360,644
frame_000938.png,358,645
frame_000939.png,357,644
frame_000940.png,355,643
frame_000941.png,354,641
frame_000942.png,353,642
frame_000943.png,351,641
frame_000944.png,350,640
frame_000945.png,349,636
frame_000946.png,348,635
frame_000947.png,346,631
frame_000948.png,345,632
frame_000949.png,344,628
frame_000950.png,342,629
frame_000951.png,341,626
frame_000952.png,340,624
frame_000953.png,339,623
frame_000954.png,338,622
frame_000955.png,336,621
frame_000956.png,335,618
frame_000957.png,334,621
frame_000958.png,333,616
frame_000959.png,332,614
frame_000960.png,330,615
frame_000961.png,329,614
frame_000962.png,328,612
frame_000963.png,326,609
frame_000964.png,325,609
frame_000965.png,323,604
frame_000966.png,322,607
frame_000967.png,321,608
frame_000968.png,319,607
frame_000969.png,318,603
frame_000970.png,317,604
frame_000971.png,316,597
frame_000972.png,314,599
frame_000973.png,313,597
frame_000974.png,312,596
frame_000975.png,311,595
frame_000976.png,309,593
frame_000977.png,308,588
frame_000978.png,307,588
frame_000979.png,306,587
frame_000980.png,304,588
frame_000981.png,303,587
frame_000982.png,301,587
frame_000983.png,300,586
frame_000984.png,298,586
frame_000985.png,297,584
frame_000986.png,296,585
frame_000987.png,294,571
frame_000988.png,293,582
frame_000989.png,292,581
frame_000990.png,290,578
frame_000991.png,289,572
frame_000992.png,288,571
frame_000993.png,287,570
frame_000994.png,285,569
frame_000995.png,284,570
frame_000996.png,283,568
frame_000997.png,282,566
frame_000998.png,280,565
frame_000999.png,279,565
frame_001000.png,278,563
frame_001001.png,276,562
frame_001002.png,275,560
frame_001003.png,273,559
frame_001004.png,272,557
frame_001005.png,270,556
frame_001006.png,269,551
frame_001007.png,267,551
frame_001008.png,266,554
frame_001009.png,265,548
frame_001010.png,263,547
frame_001011.png,262,548
frame_001012.png,260,544
frame_001013.png,259,548
frame_001014.png,258,545
frame_001015.png,256,538
frame_001016.png,255,544
frame_001017.png,253,541
frame_001018.png,252,540
frame_001019.png,250,538
frame_001020.png,249,536
frame_001021.png,247,534
frame_001022.png,246,534
frame_001023.png,244,533
frame_001024.png,243,531
frame_001025.png,241,529
frame_001026.png,240,528
frame_001027.png,238,526
frame_001028.png,237,526
frame_001029.png,235,522
frame_001030.png,234,522
frame_001031.png,232,518
frame_001032.png,231,517
frame_001033.png,229,509
frame_001034.png,228,508
frame_001035.png,226,506
frame_001036.png,225,505
frame_001037.png,223,504
frame_001038.png,222,502
frame_001039.png,220,503
frame_001040.png,219,502
frame_001041.png,217,500
frame_001042.png,215,498
frame_001043.png,214,497
frame_001044.png,212,496
frame_001045.png,210,498
frame_001046.png,209,490
frame_001047.png,207,495
frame_001048.png,206,482
frame_001049.png,204,481
frame_001050.png,203,481
frame_001051.png,201,481
frame_001052.png,200,481
frame_001053.png,198,481
frame_001054.png,197,481
frame_001055.png,195,477
frame_001056.png,194,475
frame_001057.png,192,474
frame_001058.png,190,472
frame_001059.png,188,471
frame_001060.png,187,470
frame_001061.png,185,474
frame_001062.png,183,473
frame_001063.png,182,471
frame_001064.png,180,463
frame_001065.png,179,446
frame_001066.png,177,457
frame_001067.png,176,455
frame_001068.png,174,445
frame_001069.png,172,452
frame_001070.png,171,453
frame_001071.png,169,452
frame_001072.png,168,451
frame_001073.png,166,438
frame_001074.png,164,451
frame_001075.png,162,449
frame_001076.png,161,448
frame_001077.png,159,446
frame_001078.png,157,438
frame_001079.png,156,442
frame_001080.png,154,438
frame_001081.png,152,436
frame_001082.png,151,434
frame_001083.png,149,432
frame_001084.png,147,434
frame_001085.png,146,432
frame_001086.png,144,431
frame_001087.png,143,431
frame_001088.png,141,424
frame_001089.png,139,428
frame_001090.png,138,426
frame_001091.png,136,419
frame_001092.png,134,420
frame_001093.png,132,416
